Treatments,Time,G,A,GG,AA,GA/AG,GGA/AGG/GAG,GGG,GGGG,AAG/AGA,AAA
0,0,0,0.1,0,0,0,0,0,0,0,0
0,1,0,0.0814053,0,0.00815002,0,0,0,0,0,0.000764879
0,2,0,0.0805165,0,0.0080781,0,0,0,0,0,0.00110909
0,3,0,0.0802721,0,0.00802498,0,0,0,0,0,0.00122599
0,4,0,0.0801622,0,0.00802128,0,0,0,0,0,0.00126508
1,0,0.01,0.09,0,0,0,0,0,0,0,0
1,1,0.00859387,0.0735859,0.000110135,0.00666452,0.000915534,1.71E-05,2.10E-06,4.86E-08,0.000229555,0.000564429
1,2,0.00854144,0.0728143,0.000110337,0.00662004,0.000918507,1.78E-05,3.13E-06,8.57E-08,0.000273987,0.000820438
1,3,0.00854064,0.0726242,0.000109996,0.00658042,0.000914079,1.78E-05,3.50E-06,1.01E-07,0.000278686,0.000908543
1,4,0.00853981,0.0725322,0.000110182,0.00658165,0.000914385,1.78E-05,3.64E-06,1.06E-07,0.000278535,0.000938422
2,0,0.025,0.075,0,0,0,0,0,0,0,0
2,1,0.0211106,0.0618082,0.000661163,0.00470611,0.00189476,8.70E-05,3.09E-05,1.77E-06,0.000398672,0.000333501
2,2,0.0209704,0.0612148,0.000662914,0.00469135,0.00189818,9.03E-05,4.55E-05,3.08E-06,0.000476162,0.000487229
2,3,0.0209566,0.0610846,0.000661279,0.00467185,0.0018888,9.04E-05,5.08E-05,3.60E-06,0.000484556,0.000541155
2,4,0.0209484,0.0610253,0.000662352,0.00467347,0.00188902,9.00E-05,5.27E-05,3.80E-06,0.000484471,0.000559924
3,0,0.05,0.05,0,0,0,0,0,0,0,0
3,1,0.0409717,0.0419144,0.00247281,0.00216581,0.00250853,0.00022301,0.000223587,2.52E-05,0.000356663,0.000103033
3,2,0.0405407,0.0416066,0.00246792,0.00217621,0.00250075,0.000229567,0.000322165,4.26E-05,0.000426645,0.000152461
3,3,0.0404374,0.0415575,0.00245946,0.00217421,0.00248574,0.00022886,0.000356351,4.93E-05,0.000434061,0.000170461
3,4,0.0403935,0.0415381,0.0024606,0.00217556,0.00248366,0.000228033,0.000368278,5.17E-05,0.000434066,0.000176993
4,0,0.075,0.025,0,0,0,0,0,0,0,0
4,1,0.0595884,0.0214355,0.00520149,0.000565974,0.00187801,0.000242504,0.000684849,0.000113849,0.000135684,1.36E-05
4,2,0.0585782,0.021355,0.00513979,0.00057536,0.00186033,0.00024673,0.000960604,0.00018592,0.000162909,2.05E-05
4,3,0.0582703,0.0213524,0.00511715,0.000577201,0.00184863,0.000243968,0.00104936,0.000211285,0.000165651,2.31E-05
4,4,0.0581916,0.0213567,0.00509881,0.000577263,0.00184105,0.000243911,0.00107894,0.000219823,0.000165777,2.41E-05
5,0,0.09,0.01,0,0,0,0,0,0,0,0
5,1,0.0701723,0.00871737,0.00719296,9.35E-05,0.00090299,0.000137244,0.00111815,0.000220877,2.64E-05,9.00E-07
5,2,0.0686627,0.00871086,0.0070522,9.59E-05,0.000890977,0.000138603,0.00154108,0.000352407,3.18E-05,1.38E-06
5,3,0.0681919,0.00871626,0.00701284,9.64E-05,0.000884925,0.000136498,0.00166961,0.000395827,3.24E-05,1.57E-06
